LAT;;;;;13.5500;13.5500;13.5500;13.5500
LON;;;;;-88.8167;-88.8167;-88.8167;-88.8167
ASL;;;;;481.000;481.000;481.000;481.000
CITY;;;;;India;India;India;India
DOMAIN;;;;;NEMSCAM;NEMSCAM;NEMSCAM;NEMSCAM
LEVEL;;;;;2 m above gnd;sfc;10 m above gnd;10 m above gnd
NAME;;;;;Temperature;Total Precipitation (high resolution);Wind Speed;Wind Direction
UNIT;;;;;°C;mm;km/h;°
AGGREGATION;;;;;;;;
UTC_OFFSET;;;;;-6;-6;-6;-6

Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Total Precipitation (high resolution)  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd]
2019;06;21;03;00;25.29;0.00;4.02;26.57
2019;06;21;04;00;25.14;0.00;4.33;4.76
2019;06;21;05;00;24.75;0.00;6.21;10.01
2019;06;21;06;00;25.32;0.00;6.29;13.24
2019;06;21;07;00;26.30;0.00;7.17;17.53
2019;06;21;08;00;26.72;0.20;6.79;32.01
2019;06;21;09;00;27.59;0.20;6.15;69.44
2019;06;21;10;00;26.20;0.40;8.05;100.30
2019;06;21;11;00;27.42;0.80;10.37;110.32
2019;06;21;12;00;27.13;0.70;9.69;121.33
2019;06;21;13;00;27.32;0.70;8.67;138.37
2019;06;21;14;00;26.33;1.50;8.23;156.80
2019;06;21;15;00;25.30;2.10;5.77;176.42
2019;06;21;16;00;25.00;0.70;4.32;180.00
2019;06;21;17;00;25.30;0.40;3.67;168.69
2019;06;21;18;00;25.22;0.00;1.44;180.00
2019;06;21;19;00;24.19;0.00;1.30;213.69
2019;06;21;20;00;24.32;0.00;2.31;308.66
2019;06;21;21;00;24.24;0.00;3.60;323.13
2019;06;21;22;00;24.23;0.00;3.88;338.20
2019;06;21;23;00;24.47;0.00;2.97;345.96
